initialRelayScenario,sensorScenario,NmbrofSensors,Algorithm,smin,fmin,NmbrofFcal,RunTime
Uniformly Distributed,Clustered - Centre,96,Log Barrier,"(0.15,0.18)",25.110715200643,0,0.6855
Uniformly Distributed,Clustered - Centre,192,Monte Carlo,"(0.49,0.56)",12.2922674227278,100,2.2189
Uniformly Distributed,Clustered - Centre,192,l2,"(0.48,0.5)",11.7390353977981,211,184.4028
Uniformly Distributed,Clustered - Centre,192,Nelder-Mead Simplex,"(0.48,0.5)",11.7390359019159,77,3.4035
Uniformly Distributed,Clustered - Centre,192,Log Barrier,"(0.15,0.18)",53.7976725027356,0,1.6135
Uniformly Distributed,Clustered - Centre,384,Monte Carlo,"(0.57,0.54)",27.7305292035056,100,4.0947
Uniformly Distributed,Clustered - Centre,384,l2,"(0.48,0.5)",24.328028940658,60,98.7409
Uniformly Distributed,Clustered - Centre,384,Nelder-Mead Simplex,"(0.48,0.5)",24.3280295277432,80,6.5436
Uniformly Distributed,Clustered - Centre,384,Log Barrier,"(0.15,0.18)",106.467684971686,0,0.9228
Uniformly Distributed,Uniformly Distributed,3,Monte Carlo,"(0.59,0.3)",0.744528401362866,100,0.3571
Uniformly Distributed,Uniformly Distributed,3,l2,"(0.59,0.3)",0.748682085151768,84,22.975
Uniformly Distributed,Uniformly Distributed,3,Nelder-Mead Simplex,"(0.61,0.31)",0.734388099535581,101,1.9837
Uniformly Distributed,Uniformly Distributed,3,Log Barrier,"(0.02,0.26)",2.39936738632232,0,0.0822
Uniformly Distributed,Uniformly Distributed,6,Monte Carlo,"(0.54,0.41)",1.68019097425966,100,0.7363
Uniformly Distributed,Uniformly Distributed,6,l2,"(0.57,0.49)",1.62828104969558,126,61.467
Uniformly Distributed,Uniformly Distributed,6,Nelder-Mead Simplex,"(0.57,0.49)",1.62766004755677,98,2.0115
Uniformly Distributed,Uniformly Distributed,6,Log Barrier,"(0.02,0.26)",4.51906759196667,0,0.1382
Uniformly Distributed,Uniformly Distributed,12,Monte Carlo,"(0.49,0.47)",2.83735059718797,100,0.6732
Uniformly Distributed,Uniformly Distributed,12,l2,"(0.56,0.48)",2.77970640707856,189,52.3955
Uniformly Distributed,Uniformly Distributed,12,Nelder-Mead Simplex,"(0.56,0.48)",2.7795255955153,112,2.4811
Uniformly Distributed,Uniformly Distributed,12,Log Barrier,"(0.02,0.26)",7.26481586385858,0,0.2323
Uniformly Distributed,Uniformly Distributed,24,Monte Carlo,"(0.53,0.51)",4.53429858779019,100,0.5846
Uniformly Distributed,Uniformly Distributed,24,l2,"(0.55,0.46)",4.45897341691769,189,60.202
Uniformly Distributed,Uniformly Distributed,24,Nelder-Mead Simplex,"(0.55,0.47)",4.44906192033095,115,2.0732
Uniformly Distributed,Uniformly Distributed,24,Log Barrier,"(0.02,0.26)",12.9534715019073,0,0.1965
Uniformly Distributed,Uniformly Distributed,48,Monte Carlo,"(0.52,0.46)",8.56886190797944,100,1.3397
Uniformly Distributed,Uniformly Distributed,48,l2,"(0.49,0.48)",8.52571566221601,211,86.9161
Uniformly Distributed,Uniformly Distributed,48,Nelder-Mead Simplex,"(0.49,0.48)",8.5257157211111,90,2.9252
Uniformly Distributed,Uniformly Distributed,48,Log Barrier,"(0.02,0.26)",22.986944017528,0,0.5767
Uniformly Distributed,Uniformly Distributed,96,Monte Carlo,"(0.54,0.42)",16.1247181479461,100,1.4678
Uniformly Distributed,Uniformly Distributed,96,l2,"(0.53,0.47)",15.8421822915694,207,118.0801
Uniformly Distributed,Uniformly Distributed,96,Nelder-Mead Simplex,"(0.53,0.47)",15.8421824198909,92,4.2894
Uniformly Distributed,Uniformly Distributed,96,Log Barrier,"(0.02,0.26)",47.3640054568407,0,0.9159
Uniformly Distributed,Uniformly Distributed,192,Monte Carlo,"(0.5,0.42)",32.7501305434961,100,2.1953
Uniformly Distributed,Uniformly Distributed,192,l2,"(0.49,0.48)",31.8615433989323,147,131.897
Uniformly Distributed,Uniformly Distributed,192,Nelder-Mead Simplex,"(0.49,0.48)",31.8615435816053,98,4.7047
Uniformly Distributed,Uniformly Distributed,192,Log Barrier,"(0.02,0.26)",85.3459598087393,0,1.3386
Uniformly Distributed,Uniformly Distributed,384,Monte Carlo,"(0.52,0.5)",65.3187708378801,100,5.1694
Uniformly Distributed,Uniformly Distributed,384,l2,"(0.5,0.49)",65.1258436689199,288,484.4321
Uniformly Distributed,Uniformly Distributed,384,Nelder-Mead Simplex,"(0.5,0.49)",65.1258439396686,103,5.9074
Uniformly Distributed,Uniformly Distributed,384,Log Barrier,"(0.02,0.26)",176.215851504859,0,1.9914
Uniformly Distributed,Clustered - Corner,3,Monte Carlo,"(0.42,0.32)",0.441155185254541,100,0.3182
Uniformly Distributed,Clustered - Corner,3,l2,"(0.43,0.39)",0.412449336182452,84,20.2878
Uniformly Distributed,Clustered - Corner,3,Nelder-Mead Simplex,"(0.44,0.38)",0.407252730561267,111,2.2896
Uniformly Distributed,Clustered - Corner,3,Log Barrier,"(0.02,0.26)",1.27656025968585,0,0.123
Uniformly Distributed,Clustered - Corner,6,Monte Carlo,"(0.47,0.48)",0.952507682570367,100,0.6369
Uniformly Distributed,Clustered - Corner,6,l2,"(0.47,0.45)",0.908741669911578,126,42.3886
Uniformly Distributed,Clustered - Corner,6,Nelder-Mead Simplex,"(0.47,0.44)",0.905109154172497,109,2.3405
Uniformly Distributed,Clustered - Corner,6,Log Barrier,"(0.02,0.26)",2.79266008958833,0,0.1394
Uniformly Distributed,Clustered - Corner,12,Monte Carlo,"(0.39,0.33)",1.75523953656134,100,0.7852
Uniformly Distributed,Clustered - Corner,12,l2,"(0.37,0.36)",1.73511526321673,149,61.7461
Uniformly Distributed,Clustered - Corner,12,Nelder-Mead Simplex,"(0.37,0.36)",1.73511526937949,87,2.5231
Uniformly Distributed,Clustered - Corner,12,Log Barrier,"(0.02,0.26)",3.54932519379826,0,0.1819
Uniformly Distributed,Clustered - Corner,24,Monte Carlo,"(0.36,0.29)",2.64423693728932,100,0.6569
Uniformly Distributed,Clustered - Corner,24,l2,"(0.34,0.33)",2.60062974473806,191,60.1736
Uniformly Distributed,Clustered - Corner,24,Nelder-Mead Simplex,"(0.34,0.33)",2.60062977931271,80,2.3471
Uniformly Distributed,Clustered - Corner,24,Log Barrier,"(0.02,0.26)",5.47809468878049,0,0.3651
Uniformly Distributed,Clustered - Corner,48,Monte Carlo,"(0.31,0.29)",4.71128342827464,100,1.2236
Uniformly Distributed,Clustered - Corner,48,l2,"(0.32,0.27)",4.68486992520546,214,83.5237
Uniformly Distributed,Clustered - Corner,48,Nelder-Mead Simplex,"(0.32,0.27)",4.68487001577468,77,1.6209
Uniformly Distributed,Clustered - Corner,48,Log Barrier,"(0.02,0.26)",9.40933877185306,0,0.538
Uniformly Distributed,Clustered - Corner,96,Monte Carlo,"(0.34,0.32)",9.03657699582204,100,1.7168
Uniformly Distributed,Clustered - Corner,96,l2,"(0.31,0.27)",8.72489815376282,254,147.8677
Uniformly Distributed,Clustered - Corner,96,Nelder-Mead Simplex,"(0.31,0.27)",8.72489852303548,67,2.03
Uniformly Distributed,Clustered - Corner,96,Log Barrier,"(0.02,0.26)",17.1839404939611,0,1.0329
Uniformly Distributed,Clustered - Corner,192,Monte Carlo,"(0.23,0.28)",17.7299043923871,100,2.2116
Uniformly Distributed,Clustered - Corner,192,l2,"(0.29,0.25)",16.768690761492,210,191.8756
Uniformly Distributed,Clustered - Corner,192,Nelder-Mead Simplex,"(0.29,0.25)",16.7686912070875,72,2.6792
Uniformly Distributed,Clustered - Corner,192,Log Barrier,"(0.02,0.26)",31.1346552696237,0,1.7802
Uniformly Distributed,Clustered - Corner,384,Monte Carlo,"(0.25,0.22)",33.0478872610928,100,4.0247
Uniformly Distributed,Clustered - Corner,384,l2,"(0.29,0.24)",32.2900007582161,78,119.913
Uniformly Distributed,Clustered - Corner,384,Nelder-Mead Simplex,"(0.29,0.24)",32.290001010811,79,5.4111
Uniformly Distributed,Clustered - Corner,384,Log Barrier,"(0.02,0.26)",61.4504842156976,0,2.519
Uniformly Distributed,Clustered - Centre,3,Monte Carlo,"(0.47,0.44)",0.202554157534935,100,0.3588
Uniformly Distributed,Clustered - Centre,3,l2,"(0.45,0.42)",0.207347005654691,84,20.006
Uniformly Distributed,Clustered - Centre,3,Nelder-Mead Simplex,"(0.46,0.43)",0.200513251688259,105,1.9334
Uniformly Distributed,Clustered - Centre,3,Log Barrier,"(0.02,0.26)",1.14888046574405,0,0.0982
Uniformly Distributed,Clustered - Centre,6,Monte Carlo,"(0.5,0.47)",0.771636552518385,100,0.6875
Uniformly Distributed,Clustered - Centre,6,l2,"(0.48,0.56)",0.708209959427198,106,29.1199
Uniformly Distributed,Clustered - Centre,6,Nelder-Mead Simplex,"(0.48,0.56)",0.708209962466149,104,2.503
Uniformly Distributed,Clustered - Centre,6,Log Barrier,"(0.02,0.26)",2.83288390402539,0,0.1323
Uniformly Distributed,Clustered - Centre,12,Monte Carlo,"(0.36,0.61)",1.1189824183178,100,0.7925
Uniformly Distributed,Clustered - Centre,12,l2,"(0.46,0.56)",0.91698902485409,169,67.7339
Uniformly Distributed,Clustered - Centre,12,Nelder-Mead Simplex,"(0.46,0.56)",0.916989038481587,100,2.289
Uniformly Distributed,Clustered - Centre,12,Log Barrier,"(0.02,0.26)",4.6919820962035,0,0.1382
Uniformly Distributed,Clustered - Centre,24,Monte Carlo,"(0.54,0.5)",1.81759665547042,100,0.7359
Uniformly Distributed,Clustered - Centre,24,l2,"(0.52,0.56)",1.71361030496458,169,55.4849
Uniformly Distributed,Clustered - Centre,24,Nelder-Mead Simplex,"(0.52,0.56)",1.71361035254997,89,2.3008
Uniformly Distributed,Clustered - Centre,24,Log Barrier,"(0.02,0.26)",10.2819206153228,0,0.3119
Uniformly Distributed,Clustered - Centre,48,Monte Carlo,"(0.49,0.6)",3.3732576292569,100,0.8213
Uniformly Distributed,Clustered - Centre,48,l2,"(0.53,0.56)",3.21846715859473,169,67.4118
Uniformly Distributed,Clustered - Centre,48,Nelder-Mead Simplex,"(0.53,0.56)",3.21846723083049,86,2.0515
Uniformly Distributed,Clustered - Centre,48,Log Barrier,"(0.02,0.26)",20.7022698009434,0,0.4192
Uniformly Distributed,Clustered - Centre,96,Monte Carlo,"(0.51,0.51)",6.85112605463213,100,1.5868
Uniformly Distributed,Clustered - Centre,96,l2,"(0.52,0.5)",6.82745616350827,206,130.7867
Uniformly Distributed,Clustered - Centre,96,Nelder-Mead Simplex,"(0.52,0.5)",6.82466646604484,103,2.5788
Uniformly Distributed,Clustered - Centre,96,Log Barrier,"(0.02,0.26)",36.8559569608938,0,0.4174
Uniformly Distributed,Clustered - Centre,192,Monte Carlo,"(0.54,0.6)",15.0071649720825,100,2.8462
Uniformly Distributed,Clustered - Centre,192,l2,"(0.51,0.5)",12.441769732092,156,147.1277
Uniformly Distributed,Clustered - Centre,192,Nelder-Mead Simplex,"(0.51,0.5)",12.4417700908624,97,3.247
Uniformly Distributed,Clustered - Centre,192,Log Barrier,"(0.02,0.26)",68.9960473835909,0,0.6195
Uniformly Distributed,Clustered - Centre,384,Monte Carlo,"(0.55,0.53)",26.0191824692175,100,5.1098
Uniformly Distributed,Clustered - Centre,384,l2,"(0.51,0.5)",25.0694577541422,144,228.3216
Uniformly Distributed,Clustered - Centre,384,Nelder-Mead Simplex,"(0.51,0.5)",25.0694584137472,91,6.4667
Uniformly Distributed,Clustered - Centre,384,Log Barrier,"(0.02,0.26)",139.175762304306,0,1.7183
Uniformly Distributed,Uniformly Distributed,3,Monte Carlo,"(0.38,0.27)",0.49904536750292,100,0.3453
Uniformly Distributed,Uniformly Distributed,3,l2,"(0.36,0.35)",0.464760957668152,84,19.5376
Uniformly Distributed,Uniformly Distributed,3,Nelder-Mead Simplex,"(0.37,0.35)",0.460317975301871,106,1.5395
Uniformly Distributed,Uniformly Distributed,3,Log Barrier,"(0.15,0.94)",2.82585327349934,0,0.0957
